uri,nome,cognome,patronimico,genere_inferito
https://florentiaillustrata.net/resource/person/Giuseppe_Pucci,Giuseppe,Pucci,Gaetano,F
https://florentiaillustrata.net/resource/person/Anna_Massai,Anna,Massai,Francesco,F
https://florentiaillustrata.net/resource/person/Antonio_Cappuccini,Antonio,Cappuccini,Ignazio,F
https://florentiaillustrata.net/resource/person/Francesco_Secci,Francesco,Secci,Pietro,F
https://florentiaillustrata.net/resource/person/Giovanni_Bianda,Giovanni,Bianda,Giuseppe Antonio,F
https://florentiaillustrata.net/resource/person/Filippo_Rogai,Filippo,Rogai,Gaetano,F
https://florentiaillustrata.net/resource/person/Pietro_Fabbrini,Pietro,Fabbrini,Gaetano,F
https://florentiaillustrata.net/resource/person/Giuseppe_Paoletti,Giuseppe,Paoletti,Luigi,F
https://florentiaillustrata.net/resource/person/Luigi_Niccoli,Luigi,Niccoli,Francesco,F
https://florentiaillustrata.net/resource/person/Roberto_Manetti,Roberto,Manetti,Giovanni Bernardo,F
https://florentiaillustrata.net/resource/person/Vincenzo_Venni,Vincenzo,Venni,Antonio,F
https://florentiaillustrata.net/resource/person/Teresa_Nobili,Teresa,Nobili,Giovacchino,F
https://florentiaillustrata.net/resource/person/Giovanni_Tavanti,Giovanni,Tavanti,Anton Domenico,F
https://florentiaillustrata.net/resource/person/Luigi_Pinzani,Luigi,Pinzani,Giovanni,F
https://florentiaillustrata.net/resource/person/Giuseppe_Corsi,Giuseppe,Corsi,Francesco,F
https://florentiaillustrata.net/resource/person/Ascanio_Ciabatti,Ascanio,Ciabatti,Vincenzo,F
https://florentiaillustrata.net/resource/person/Claudio_Pellettur,Claudio,Pellettur,Giovanni,F
https://florentiaillustrata.net/resource/person/Michele_Giuntini,Michele,Giuntini,Domenico,F
https://florentiaillustrata.net/resource/person/Gregorio_Burci,Gregorio,Burci,Giuseppe,F
https://florentiaillustrata.net/resource/person/Pietro_Burgassi,Pietro,Burgassi,Francesco,F
https://florentiaillustrata.net/resource/person/Francesco_Passerini,Francesco,Passerini,Alessandro,F
https://florentiaillustrata.net/resource/person/Pietro_Calvetti,Pietro,Calvetti,Giovan Battista,F
https://florentiaillustrata.net/resource/person/Cesare_Billi,Cesare,Billi,Geremia,F
https://florentiaillustrata.net/resource/person/Giovanni_Locchi,Giovanni,Locchi,Bartolommeo,F
https://florentiaillustrata.net/resource/person/Cosimo_Benvenuti,Cosimo,Benvenuti,Pasquale,F
https://florentiaillustrata.net/resource/person/Giuseppe_Granchi,Giuseppe,Granchi,Giovan Battista,F
https://florentiaillustrata.net/resource/person/Francesco_Poggiali,Francesco,Poggiali,Angiolo,F
https://florentiaillustrata.net/resource/person/Leonardo_Teri,Leonardo,Teri,Agostino,F
https://florentiaillustrata.net/resource/person/Giuseppe_Petrioli,Giuseppe,Petrioli,Vincenzo,F
https://florentiaillustrata.net/resource/person/Lorenzo_Bonsi_Buccetti,Lorenzo,Bonsi Buccetti,Francesco,F
https://florentiaillustrata.net/resource/person/Luigi_Brocchetti,Luigi,Brocchetti,,F
https://florentiaillustrata.net/resource/person/Vincenzo_Burci,Vincenzo,Burci,Giuseppe,F
https://florentiaillustrata.net/resource/person/Giovanni_Ciolli,Giovanni,Ciolli,Santi,F
https://florentiaillustrata.net/resource/person/Giacomo_Stoppani,Giacomo,Stoppani,Giacomo,F
https://florentiaillustrata.net/resource/person/Giuseppe_Nardini,Giuseppe,Nardini,Francesco,F
https://florentiaillustrata.net/resource/person/Cesare_Mariotti,Cesare,Mariotti,Luigi,F
https://florentiaillustrata.net/resource/person/Ferdinando_Panciatichi_Ximenes_d'Aragona,Ferdinando,Panciatichi Ximenes d'Aragona,Leopoldo,F
https://florentiaillustrata.net/resource/person/Alessandro_Faujas,Alessandro,Faujas,Lorenzo,F
https://florentiaillustrata.net/resource/person/Filippo_Niccoli,Filippo,Niccoli,Domenico,F
https://florentiaillustrata.net/resource/person/Ferdinando_Mini,Ferdinando,Mini,,F
https://florentiaillustrata.net/resource/person/Giuseppe_Magni,Giuseppe,Magni,Giovan Paolo,F
https://florentiaillustrata.net/resource/person/Francesco_Arcangioli,Francesco,Arcangioli,Gaetano,F
https://florentiaillustrata.net/resource/person/Alessandro_Franceschini,Alessandro,Franceschini,Giuseppe,F
https://florentiaillustrata.net/resource/person/Vincenzo_Schepers,Vincenzo,Schepers,Giuseppe,F
https://florentiaillustrata.net/resource/person/Jacopo_Calieri,Jacopo,Calieri,Giuseppe,F
https://florentiaillustrata.net/resource/person/Lorenzo_Guerri,Lorenzo,Guerri,Vincenzo,F
https://florentiaillustrata.net/resource/person/Vincenzo_Niccolini,Vincenzo,Niccolini,Lorenzo,F
https://florentiaillustrata.net/resource/person/Andrea_Torricelli,Andrea,Torricelli,Giovanni,F
